College Name,College Address,College Contact,College Rating,College Likes,College Follow,College Website,College Type,Open Hours
Nepal Darshan College,Not Found,Not Found,Not Found,943 ,943 ,fb.me/NepalDarshan2055,Education,Not Found
"Shree Medical and Technical College, Bharatpur, Nepal",Not Found,Not Found,Not Found,"1,726 ","1,728 ",www.shreemedical.edu.np,Product/Service,Not Found
"The British College, Kathmandu",Not Found,01-5111100,4.5,"212,880 ","212,109 ",www.thebritishcollege.edu.np,Community College · High School,Not Found
Synapse 2018 - All Nepal Medical College Meet,Not Found,9844152724,5,"1,962 ","1,964 ",Not Found,Festival,Not Found
Top college in Nepal,Not Found,01-4432892,5,457 ,458 ,college.top-nepal.com,Educational Consultant · Consulting Agency,Not Found
"Aims College of Management, Butwal, Nepal","Butwal-11, Rupandehi, Lumbini, Nepal (113.04 mi) Butwal Butwal-11",071-438457,4.6,"3,986 ","3,983 ",Not Found,College & University · School, Always 
ICHM Nepal - A College for Professional,"Pingalasthan, Gaushala (Behind Pashupati Vision Complex) (2.38 mi) Kathmandu, Nepal 44621",+977 1-4113789 / 4113790,3.9,"9,453 ","9,452 ",www.ichm.edu.np,College & University · School, 7:00 AM - 5:00 PM 
APEX College,"1261 Devkota Sadak, Old baneshwor, Kathmandu, Nepal (1.99 mi) Kathmandu, Nepal 44600",01-4478841,4.6,"255,404 ","255,334 ",www.apexcollege.edu.np,Campus Building · School · College & University, 6:00 AM - 5:00 PM 
King's College,"Bijuli Bazar (2.03 mi) Kathmandu, Nepal 44660",01-4224520,4.3,"69,835 ","69,681 ",www.kingscollege.edu.np,Community College, 6:30 AM - 4:30 PM 
MEGA College,"Kumaripati, Lalitpur (2.54 mi) Lalitpur, Nepal ",01-5538328,Not Found,"27,453 ","27,427 ",www.megacollege.edu.np,Community College,Not Found
ISMT College,"Tinkune,Gairigaun (2.86 mi) Kathmandu, Nepal 44600",Not Found,4.3,"287,040 ","286,795 ",www.ismt.edu.np,College & University, 7:00 AM - 5:00 PM 
East-West College of International Education,Not Found,01-4242525 Ext 4238084,Not Found,"12,614 ","12,602 ",www.eastwest.edu.np,Educational Consultant, 9:00 AM - 5:00 PM 
Nepal College of Development Studies,Not Found,014154313,5,"1,705 ","1,707 ",www.ncds.edu.np,College & University, 6:45 AM - 3:00 PM 
Miss College Tourism nepal,"bhaktapur (7.72 mi) Bhatgaon, Nepal 01010",980-8902369,Not Found,"1,985 ","1,985 ",Not Found,Advertising/Marketing,Not Found
DAV College,"Jawalakhel (2.89 mi) Jwalakhel, Nepal ",Not Found,4.1,"104,091 ","104,098 ",www.davcollege.edu.np,Private School · Community College,Not Found
Oscar International College (College of Film Studies),"Sukhedhara (2.75 mi) Kathmandu, Nepal 44600",01-4371874,4.4,"41,100 ","41,046 ",www.oscar.edu.np,College & University · Education Website, 6:30 AM - 4:00 PM 
"New Horizon College,Butwal, Nepal",Not Found,071562451,5,"6,242 ","6,251 ",www.newhorizon.edu.np,School,Not Found
"Balkumari college Narayanghart,Chitwan, Nepal.",Not Found,Not Found,Not Found,"4,638 ","4,712 ",www.balkumaricollege.edu.np,Education,Not Found
"Birendra Memorial College Dharan, Nepal",Not Found,Not Found,Not Found,795 ,796 ,Not Found,Education,Not Found
Quest International College,"Gwarko (3.43 mi) Lalitpur, Nepal 977",Not Found,4.2,"74,347 ","74,390 ",www.quest.edu.np,Community College · School,Not Found
College Of Medical Sciences-Nepal,"Bharatpur-10 (53.56 mi) Bharatpur, Nepal ",Not Found,4.8,"26,518 ","26,523 ",cmsnepal.edu.np,Hospital · Medical School · Community College, Always 
All Nepal College of Technical Education,"Gaushala, Battisputali, Kathmandu Nepal (Back gate of Dwrika Hotal) (1.95 mi) Kathmandu, Nepal 44600",01-4470205,5,"3,373 ","3,376 ",www.allnepal.edu.np,Community College,Not Found
"Sunshine Higher Secondary School/College, Bhairahawa- Nepal",Not Found,Not Found,Not Found,"1,636 ","1,632 ",Not Found,Education,Not Found
"Department of Social Work, Nepal Mega College",Not Found,Not Found,Not Found,"2,248 ","2,248 ",www.nepalmegacollege.edu.np,Education,Not Found
SAIM College,"Old Baneswore Chowk, Kathmandu (1.99 mi) Kathmandu, Nepal ",01-4474747 Ext 4484832,4,"48,817 ","48,823 ",www.saim.edu.np,College & University, 6:00 AM - 6:00 PM 
"Aadhar Education, Nepal","New Plaza, Putalisadak (1.71 mi) Kathmandu, Nepal 44605",01-4430852,4.2,"10,317 ","10,289 ",www.aadhar.edu.np,Educational Consultant, 8:00 AM - 6:00 PM 
"College of Dental Science & Hospital, Nepal Medical College - Codsh-Nmc",Not Found,01-4916132,Not Found,"2,313 ","2,316 ",www.nmcth.edu,Medical Company,Not Found
Nepal Darshan College,Not Found,Not Found,Not Found,440 ,437 ,Not Found,College & University,Not Found
Build up Nepal,"Mitra Marg (2.43 mi) Patan, Nepal 44701",01-5261003,4.8,"63,574 ","63,794 ",www.buildupnepal.com,Company, 9:00 AM - 5:00 PM 
Hello Nepal Administrative Staff College,Not Found,Not Found,Not Found,"4,441 ","4,443 ",www.nasc.org.np,Public & Government Service · College & University,Not Found
Universal College,"Shantinagar, Tinkune, Kathmandu (2.73 mi) Kathmandu, Nepal 00977",01-4620524,4.8,"20,944 ","20,941 ",www.uc.edu.np,College & University · School, 6:30 AM - 5:00 PM 
Nepal Business College,Not Found,Not Found,Not Found,"4,585 ","4,586 ",nbc.edu.np,College & University,Not Found
"Lincoln College, Kathmandu, Nepal",Not Found,01-4382774,Not Found,763 ,761 ,Not Found,College & University,Not Found
Nepal Engineering College 016 batch,Changunarayan-11 (7.95 mi) Bhaktapur 01,Not Found,Not Found,900 ,906 ,www.nec.edu.np,Community College, Always 
"City College Biratnagar, Nepal.",Not Found,Not Found,Not Found,989 ,998 ,Not Found,College & University,Not Found
WELHAMS COLLEGE,"Buddhanagar, New  Baneshwor, (1.71 mi) Kathmandu, Nepal 00977","4786399, 4786398",5,"29,224 ","29,106 ",www.welhamscollege.com,Community College · Organization, 6:00 AM - 6:00 PM 
"National Medical College & Teaching Hospital, Birgunj, Nepal",National Medical College & Teaching Hospital (54.92 mi) Birgunj 44300,051-524320,4.1,"8,848 ","8,873 ",www.nmcbir.edu.np,Medical School · Hospital,Not Found
IIFT-Nepal,"Bagbazar Plaza (0.92 mi) Kathmandu, Nepal ",985-1097042,4.5,"38,089 ","38,273 ",www.iiftnepal.com,College & University · Fashion Company, 7:00 AM - 5:00 PM 
Khwopa College,Not Found,Not Found,4.4,"16,034 ","16,031 ",www.khwopacollege.edu.np,Community College,Not Found
NAMI College,"Jorpati (4.51 mi) Kathmandu, Nepal 44600",4917444,4.5,"31,202 ","31,183 ",nami.edu.np,College & University, 7:30 AM - 5:00 PM 
National College,"Dhumbarahi (2.40 mi) Kathmandu, Nepal 00977",01-4420871,4.7,"21,757 ","21,754 ",www.nationalcollege.edu.np,Community College,Not Found
"Amity College, Birtamode, Jhapa Nepal","Anarmani-3, Birtamode (180.90 mi) Jhapa, Nepal 01111",023-542762,4.3,"2,364 ","2,372 ",www.amity.edu.np,Campus Building · Community College, Always 
College of Medical Sciences Nepal,Not Found,980-1998019,Not Found,"1,151 ","1,153 ",www.cmsnepal.edu.np,Medical Company,Not Found
College Of Medical Sciences-Nepal,Not Found,+91 93931 33666,Not Found,727 ,730 ,www.cmsnepal.edu.np,Education,Not Found
"Universal College of Nursing Sciences,Bhairahawa,Nepal",UCMS (114.97 mi) Bhairahawa ,Not Found,4,"1,982 ","1,986 ",www.ucms.com.np/index.php/programs/b-sc-nursing,Medical & Health · College & University,Not Found
Nepal College Of Management,"Dhobighat (2.65 mi) Lalitpur, Nepal +977",Not Found,Not Found,771 ,771 ,www.ncm.edu.np,Community College · School,s tomorrow 
Troll Nepal Mega College,Not Found,Not Found,Not Found,39 ,39 ,Not Found,Just For Fun,Not Found
Nepal Engineering College - Entrance 2018,Not Found,015221006,Not Found,"11,727 ","11,713 ",Not Found,"Science, Technology & Engineering",Not Found
Bethesda Bible College in Nepal,"SIDDHIPUR-1 LALITPUR (3.55 mi) Lalitpur, Nepal ",Not Found,Not Found,987 ,988 ,Not Found,Religious Center · College & University,Not Found
Medhavi College,"Shankhamul, New Baneshwor (2.53 mi) Kathmandu, Nepal ",01-4782634,4.2,"24,483 ","24,437 ",www.medhavicollege.edu.np,Community College,Not Found
Nepal Darshan College NDC,Not Found,Not Found,Not Found,430 ,423 ,Not Found,School,Not Found
Nepal Ebenezer Bible College,"Jorpati (4.09 mi) Kathmandu, Nepal 44603",01-4915976,4.3,"1,015 ","1,016 ",nebcnepal.org,School · College & University,s tomorrow 
Triton International College,"Subidhanagar (3.00 mi) Kathmandu, Nepal 44600",01-5104529 Ext 5104450,4.5,"92,706 ","92,689 ",www.triton.edu.np,High School · College & University,Not Found
Nepal Mega College,Not Found,Not Found,Not Found,"3,137 ","3,122 ",Not Found,Education,Not Found
Nepal medical college confession page,Not Found,Not Found,Not Found,199 ,199 ,goo.gl/Xo257q,College & University,Not Found
Nobel College,"Sinamangal, Kathmandu (2.72 mi) Kathmandu, Nepal 44600",Not Found,3.9,"11,393 ","11,381 ",www.nobelcollege.edu.np,Community College · Medical School,Not Found
NSU Nepal Engineering College,Not Found,984-8299635,Not Found,782 ,779 ,Not Found,Political Party,Not Found
Nepal Rastriya higher Secondary School-NR College,Not Found,014366262/4350469,1,"1,151 ","1,152 ",Not Found,Education,Not Found
